"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","third2$VORP","Tm.y","Index","Image"
"444","Mason Plumlee","C","25","POR","3.3","6.3","0.516","0","0","0","3.3","6.3","0.52","0.516","2.6","4.1","0.642","2.5","5.2","7.7","2.8","0.8","1","1.9","3.1","9.1","0.564","0.008","0.648","10.4","22.2","16.3","16.2","1.6","3.2","18.8","17.1","2016","Bruiser Big Men",2.5,"POR","plumlma01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/plumlma01.jpg"
"445","Matt Barnes","SF","35","MEM","3.5","9.1","0.381","1.6","4.9","0.322","1.9","4.3","0.449","0.467","1.5","1.8","0.804","1.1","4.4","5.5","2.1","1","0.8","1.6","3.1","10","0.503","0.534","0.199","4.2","18.3","10.9","11.6","1.8","2.4","13.8","17.9","2016","Wing Scorers",1.3,"MEM","barnema02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/barnema02.jpg"
"446","Matthew Dellavedova","PG","25","CLE","2.7","6.7","0.405","1.3","3.1","0.41","1.4","3.6","0.401","0.501","0.8","0.9","0.864","0.4","1.7","2.1","4.4","0.6","0.1","1.5","2.3","7.5","0.527","0.468","0.129","2","7.8","4.9","26.2","1.2","0.4","17.7","15.9","2016","Sharpshooters",0.2,"CLE","dellama01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dellama01.jpg"
"447","Maurice Harkless","SF","22","POR","2.5","5.3","0.474","0.5","1.8","0.279","2","3.5","0.576","0.522","0.9","1.4","0.622","1.3","2.3","3.6","0.9","0.6","0.4","0.8","1.6","6.4","0.541","0.341","0.27","7.5","13.3","10.4","6.9","1.7","1.9","11.9","15.6","2016","Sharpshooters",0.7,"POR","harklma01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harklma01.jpg"
"448","Metta World Peace","SF","36","LAL","1.6","5.1","0.311","0.7","2.4","0.31","0.8","2.7","0.312","0.384","1.1","1.6","0.702","0.5","2","2.5","0.8","0.6","0.3","0.4","1.9","5","0.435","0.475","0.322","3.4","13.2","8.1","7.2","1.9","1.5","6.9","16.2","2016","Sharpshooters",-0.3,"LAL","artesro01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/artesro01.jpg"
"449","Meyers Leonard","PF","23","POR","3.2","7.1","0.448","1.4","3.7","0.377","1.8","3.4","0.527","0.547","0.6","0.8","0.761","0.8","4.3","5.1","1.5","0.1","0.3","1.3","3","8.4","0.561","0.524","0.106","4.1","21.4","12.8","10.6","0.3","1.1","14.5","17.4","2016","Wing Scorers",0.2,"POR","leoname01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leoname01.jpg"
"450","Michael Beasley","PF","27","HOU","5.4","10.3","0.522","0.2","0.5","0.333","5.2","9.8","0.531","0.529","1.9","2.5","0.776","1.5","3.5","4.9","0.8","0.6","0.5","1.2","2","12.8","0.563","0.044","0.239","8.8","21.1","14.9","9.1","1.5","2.1","9.6","29.7","2016","Big Men",-0.1,"HOU","beaslmi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/beaslmi01.jpg"
"451","Michael Carter-Williams","PG","24","MIL","4.6","10.3","0.452","0.3","1","0.273","4.4","9.3","0.472","0.466","2","3","0.654","0.9","4.2","5.1","5.2","1.5","0.8","2.8","3","11.5","0.497","0.099","0.292","3.4","15.7","9.6","26.6","2.5","2.1","19.6","21.3","2016","Ball Handlers",0.5,"MIL","cartemi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/cartemi01.jpg"
"452","Michael Kidd-Gilchrist","SF","22","CHO","4.7","8.7","0.541","0.4","1","0.429","4.3","7.7","0.556","0.566","2.9","4.1","0.69","1.7","4.7","6.4","1.3","0.4","0.4","1.1","1.3","12.7","0.603","0.115","0.475","6.3","17.8","12","7.3","0.7","1.2","9.8","18","2016","Bruiser Big Men",0,"CHO","kiddgmi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/kiddgmi01.jpg"
"453","Mike Conley","PG","28","MEM","5.3","12.4","0.422","1.4","3.8","0.363","3.9","8.6","0.449","0.478","3.4","4.1","0.834","0.5","2.5","2.9","6.1","1.2","0.3","1.5","1.8","15.3","0.538","0.309","0.329","1.6","9.3","5.3","32.7","2","0.8","9.5","22.4","2016","Ball Handlers",1.7,"MEM","conlemi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/conlemi01.jpg"
