"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","third2$VORP","Tm.y","Index","Image"
"1","Aaron Brooks","PG","31","CHI","2.7","6.8","0.401","1","2.7","0.357","1.8","4.1","0.43","0.471","0.7","0.9","0.766","0.3","1.2","1.5","2.6","0.4","0.1","1.2","1.9","7.1","0.494","0.394","0.136","2","7.5","4.8","26","1.4","0.7","14.2","22.9","2016","Sharpshooters",-0.4,"CHI","brookaa01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/brookaa01.jpg"
"2","Aaron Gordon","PF","20","ORL","3.5","7.4","0.473","0.5","1.8","0.296","3","5.6","0.531","0.509","1.7","2.5","0.668","2","4.5","6.5","1.6","0.8","0.7","0.8","2","9.2","0.541","0.245","0.333","9","21.3","15.1","10.3","1.6","2.4","9","17.3","2016","Bruiser Big Men",1.8,"ORL","gordoaa01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/gordoaa01.jpg"
"3","Al Horford","C","29","ATL","6.5","12.8","0.505","1.1","3.1","0.344","5.4","9.7","0.557","0.547","1.3","1.6","0.798","1.8","5.5","7.3","3.2","0.8","1.5","1.3","2","15.2","0.565","0.244","0.123","6.3","18.2","12.4","16.7","1.3","3.6","8.8","20.6","2016","Big Men",4.1,"ATL","horfoal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/horfoal01.jpg"
"4","Al Jefferson","C","31","CHO","5.2","10.7","0.485","0","0","0","5.2","10.7","0.485","0.485","1.5","2.4","0.649","1.2","5.2","6.4","1.5","0.6","0.9","0.7","2.5","12","0.507","0","0.22","5.6","24.6","15","11.8","1.4","3","5.8","24.2","2016","Big Men",0.2,"CHO","jeffeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jeffeal01.jpg"
"5","Al-Farouq Aminu","SF","25","POR","3.6","8.8","0.416","1.5","4.3","0.361","2.1","4.5","0.468","0.503","1.4","1.9","0.737","1.2","4.9","6.1","1.7","0.9","0.6","1.5","2.1","10.2","0.533","0.485","0.217","4.5","18.6","11.5","8.8","1.5","1.8","13.2","16.9","2016","Wing Scorers",1.3,"POR","aminual01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/aminual01.jpg"
"6","Alan Anderson","SG","33","WAS","1.6","4.5","0.356","0.9","2.8","0.324","0.7","1.7","0.409","0.458","0.8","1.2","0.733","0.1","2","2.1","1.1","0.3","0.1","0.2","1.9","5","0.495","0.627","0.254","0.6","15.5","7.9","10.3","1","0.4","3","15.4","2016","Sharpshooters",0,"WAS","anderal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/anderal01.jpg"
"7","Alec Burks","SG","24","UTA","4.4","10.8","0.41","1","2.5","0.405","3.4","8.2","0.412","0.458","3.4","4.5","0.752","0.5","3","3.5","2","0.6","0.1","1.6","2.3","13.3","0.52","0.237","0.422","2.4","13.6","8","13.9","1.2","0.4","11.4","25.9","2016","Wing Scorers",-0.1,"UTA","burksal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/burksal01.jpg"
"8","Alex Len","C","22","PHO","3.4","8","0.423","0","0.1","0.143","3.4","7.9","0.426","0.424","2.2","3.1","0.728","2.3","5.3","7.6","1.2","0.5","0.8","1.9","2.9","9","0.482","0.011","0.383","10.4","25.4","17.7","8.5","1","2.8","16.6","20.4","2016","Bruiser Big Men",-0.7,"PHO","lenal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lenal01.jpg"
"9","Alex Stepheson","PF","28","MEM","2","6.5","0.308","0","0","0","2","6.5","0.308","0.308","1","2.5","0.4","4.5","2","6.5","0.5","0.3","0.8","0","2","5","0.329","0","0.385","32.3","15.6","24.3","5.2","0.8","4.6","0","22.4","2016","Bruiser Big Men",0,"MEM","stephal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/stephal01.jpg"
"10","Alex Stepheson","PF","28","MEM","2","6.5","0.308","0","0","0","2","6.5","0.308","0.308","1","2.5","0.4","4.5","2","6.5","0.5","0.3","0.8","0","2","5","0.329","0","0.385","32.3","15.6","24.3","5.2","0.8","4.6","0","22.4","2016","Bruiser Big Men",0,"TOT","stephal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/stephal01.jpg"
"11","Alex Stepheson","PF","28","MEM","2","6.5","0.308","0","0","0","2","6.5","0.308","0.308","1","2.5","0.4","4.5","2","6.5","0.5","0.3","0.8","0","2","5","0.329","0","0.385","32.3","15.6","24.3","5.2","0.8","4.6","0","22.4","2016","Bruiser Big Men",0,"LAC","stephal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/stephal01.jpg"
"12","Alexis Ajinca","C","27","NOP","2.5","5.3","0.476","0","0","0","2.5","5.3","0.478","0.476","0.9","1.1","0.839","1.3","3.3","4.6","0.5","0.3","0.6","0.9","2.3","6","0.514","0.003","0.197","9.3","25.9","17.3","5.8","1.1","3.4","13.6","20.4","2016","Bruiser Big Men",-0.5,"NOP","ajincal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ajincal01.jpg"
"13","Allen Crabbe","SG","23","POR","3.8","8.4","0.459","1.4","3.5","0.393","2.5","4.9","0.506","0.541","1.2","1.4","0.867","0.3","2.3","2.7","1.2","0.8","0.2","0.8","2.4","10.3","0.572","0.42","0.167","1.4","9.7","5.6","7.2","1.5","0.6","8.1","16.4","2016","Wing Scorers",0.7,"POR","crabbal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/crabbal01.jpg"
"14","Alonzo Gee","SF","28","NOP","1.8","3.5","0.518","0.2","0.8","0.283","1.6","2.7","0.59","0.551","0.6","0.9","0.667","0.8","2.5","3.4","1","0.9","0.2","0.8","2.3","4.5","0.572","0.235","0.259","3.9","13","8.3","6.2","1.9","0.7","16.2","9.2","2016","Sharpshooters",0.5,"NOP","geeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/geeal01.jpg"
"15","Amar'e Stoudemire","C","33","MIA","2.4","4.3","0.566","0","0","0","2.4","4.3","0.566","0.566","1","1.3","0.746","1.3","3","4.3","0.5","0.3","0.8","0.9","1.8","5.8","0.599","0","0.303","10","22.6","16.5","5.6","1.2","4.1","15.8","17.8","2016","Bruiser Big Men",0.3,"MIA","stoudam01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/stoudam01.jpg"
"16","Amir Johnson","PF","28","BOS","3.2","5.4","0.585","0.1","0.5","0.233","3","4.8","0.624","0.596","0.9","1.5","0.57","2.3","4.1","6.4","1.7","0.7","1.1","1.2","2.7","7.3","0.602","0.101","0.284","10.3","19.6","14.9","11.4","1.4","3.6","16.4","13.6","2016","Bruiser Big Men",2.3,"BOS","johnsam01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/johnsam01.jpg"
"17","Andre Drummond","C","22","DET","6.8","13.1","0.521","0","0.1","0.333","6.8","13","0.522","0.522","2.6","7.2","0.355","4.9","9.9","14.8","0.8","1.5","1.4","1.9","3","16.2","0.499","0.006","0.553","15.6","34.2","24.5","4.4","2.3","3.2","10.5","24.1","2016","Big Men",1,"DET","drumman01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/drumman01.jpg"
"18","Andre Iguodala","SF","32","GSW","2.7","5.7","0.478","0.8","2.4","0.351","1.9","3.3","0.57","0.552","0.8","1.3","0.614","0.8","3.2","4","3.4","1.1","0.3","1.2","1.6","7","0.565","0.418","0.226","3.4","12.4","8.2","16.3","2","0.8","16.3","12.1","2016","Sharpshooters",1.6,"GSW","iguodan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/iguodan01.jpg"
"19","Andre Miller","PG","39","SAS","1.8","3.7","0.479","0.1","0.3","0.25","1.7","3.4","0.5","0.49","0.7","1","0.692","0.5","1.6","2.1","2.2","0.5","0","0.9","1.1","4.3","0.521","0.083","0.271","3.9","12.8","8.5","22.6","2","0","18.3","16.6","2016","Sharpshooters",0.1,"SAS","millean02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/millean02.jpg"
"20","Andre Miller","PG","39","SAS","1.8","3.7","0.479","0.1","0.3","0.25","1.7","3.4","0.5","0.49","0.7","1","0.692","0.5","1.6","2.1","2.2","0.5","0","0.9","1.1","4.3","0.521","0.083","0.271","3.9","12.8","8.5","22.6","2","0","18.3","16.6","2016","Sharpshooters",0.1,"MIN","millean02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/millean02.jpg"
"21","Andre Miller","PG","39","SAS","1.8","3.7","0.479","0.1","0.3","0.25","1.7","3.4","0.5","0.49","0.7","1","0.692","0.5","1.6","2.1","2.2","0.5","0","0.9","1.1","4.3","0.521","0.083","0.271","3.9","12.8","8.5","22.6","2","0","18.3","16.6","2016","Sharpshooters",0.1,"TOT","millean02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/millean02.jpg"
"22","Andre Roberson","SG","24","OKC","1.9","3.9","0.496","0.5","1.5","0.311","1.5","2.4","0.608","0.555","0.5","0.8","0.611","1.1","2.5","3.6","0.7","0.8","0.6","0.5","1.9","4.8","0.566","0.376","0.197","5.9","11.4","8.8","4","1.7","2","10.5","9.1","2016","Sharpshooters",1.3,"OKC","roberan03","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/roberan03.jpg"
"23","Andrea Bargnani","C","30","BRK","2.8","6.1","0.455","0.1","0.3","0.188","2.7","5.7","0.471","0.461","1","1.2","0.825","0.6","1.5","2.1","0.4","0.1","0.2","0.6","1.3","6.6","0.5","0.057","0.204","4.9","12.4","8.6","4.8","0.3","1.1","7.9","23.2","2016","Sharpshooters",-0.9,"BRK","bargnan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bargnan01.jpg"
"24","Andrew Bogut","C","31","GSW","2.5","4","0.627","0","0","1","2.5","4","0.626","0.629","0.3","0.7","0.48","1.7","5.3","7","2.3","0.5","1.6","1.2","3.2","5.4","0.623","0.004","0.179","9.5","26","18.3","14.8","1.1","5.8","21.6","11.4","2016","Bruiser Big Men",2.4,"GSW","bogutan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bogutan01.jpg"
"25","Andrew Nicholson","PF","26","ORL","2.6","5.5","0.471","0.7","2","0.36","1.9","3.5","0.536","0.537","0.9","1.2","0.785","0.6","3","3.6","0.4","0.2","0.4","0.7","1.2","6.9","0.567","0.368","0.21","4.5","22.8","13.5","4.8","0.6","2.2","10.8","20.4","2016","Sharpshooters",-0.4,"ORL","nichoan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/nichoan01.jpg"
"26","Andrew Wiggins","SF","20","MIN","7.3","16","0.459","0.7","2.3","0.3","6.6","13.6","0.486","0.481","5.3","7","0.761","1.3","2.3","3.6","2","1","0.6","2.2","2","20.7","0.543","0.147","0.437","4.3","7.5","5.9","10.1","1.4","1.3","10.6","27.2","2016","Ball Handlers",-0.1,"MIN","wiggian01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/wiggian01.jpg"
"27","Anthony Brown","SF","23","LAL","1.3","4.3","0.31","0.7","2.4","0.286","0.7","1.9","0.339","0.389","0.6","0.7","0.85","0.3","2.1","2.4","0.7","0.5","0.2","0.5","1.2","4","0.427","0.556","0.159","1.6","11.3","6.3","4.8","1.2","0.7","10","11","2016","Sharpshooters",-0.5,"LAL","brownan02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/brownan02.jpg"
"28","Anthony Davis","C","22","NOP","9.2","18.6","0.493","0.6","1.8","0.324","8.6","16.9","0.511","0.508","5.3","7","0.758","2.1","8.1","10.3","1.9","1.3","2","2","2.4","24.3","0.559","0.095","0.379","6.4","26.4","16.1","10","1.8","4.7","8.4","29.6","2016","Big Men",2.3,"NOP","davisan02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/davisan02.jpg"
"29","Anthony Morrow","SG","30","OKC","2","4.9","0.408","1.2","3","0.387","0.8","1.9","0.442","0.527","0.4","0.6","0.744","0.1","0.8","0.9","0.4","0.3","0.1","0.3","0.9","5.6","0.543","0.613","0.117","1.2","5.8","3.6","3.7","1.2","0.4","4.6","16.9","2016","Sharpshooters",-0.2,"OKC","morroan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/morroan01.jpg"
"30","Anthony Tolliver","PF","30","DET","1.8","4.6","0.386","1.4","3.8","0.36","0.4","0.8","0.5","0.533","0.4","0.7","0.617","0.5","2.6","3.2","0.7","0.4","0.2","0.4","1.2","5.3","0.543","0.819","0.142","3.1","16.1","9.3","5.6","1","0.9","7.4","12.4","2016","Sharpshooters",0.7,"DET","tollian01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/tollian01.jpg"
"31","Archie Goodwin","PG","21","PHO","3.1","7.4","0.417","0.4","1.7","0.232","2.7","5.7","0.474","0.444","2.3","3.4","0.674","0.5","2","2.5","2.1","0.5","0.2","1.8","1.5","8.9","0.498","0.235","0.457","2.6","11.5","6.9","17.2","1.2","1","16.5","23.2","2016","Sharpshooters",-0.7,"PHO","goodwar01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/goodwar01.jpg"
"32","Aron Baynes","C","29","DET","2.4","4.7","0.505","0","0","0","2.4","4.7","0.508","0.505","1.6","2","0.764","1.7","3","4.7","0.6","0.3","0.6","0.8","1.9","6.3","0.563","0.005","0.43","11.9","22.5","17","6.6","0.9","3.2","12.8","18.5","2016","Bruiser Big Men",0.6,"DET","baynear01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/baynear01.jpg"
"33","Arron Afflalo","SG","30","NYK","5","11.3","0.443","1.3","3.4","0.382","3.7","7.9","0.469","0.5","1.5","1.8","0.84","0.3","3.4","3.7","2","0.4","0.1","1.2","2","12.8","0.531","0.298","0.164","1.1","11","6.1","9.9","0.5","0.3","8.7","17.9","2016","Wing Scorers",-0.2,"NYK","afflaar01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/afflaar01.jpg"
"34","Austin Rivers","SG","23","LAC","3.4","7.7","0.438","0.9","2.8","0.335","2.4","4.9","0.495","0.498","1.2","1.7","0.681","0.3","1.6","1.9","1.5","0.7","0.1","0.9","2","8.9","0.523","0.359","0.225","1.7","7.9","4.8","10.6","1.6","0.5","9.7","19.4","2016","Sharpshooters",-0.1,"LAC","riverau01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/riverau01.jpg"
"35","Avery Bradley","SG","25","BOS","6","13.4","0.447","1.9","5.4","0.361","4.1","8.1","0.505","0.52","1.3","1.6","0.78","0.6","2.3","2.9","2.1","1.5","0.3","1.4","2.2","15.2","0.538","0.399","0.121","2","7.3","4.6","9.8","2.2","0.6","9.2","19.8","2016","Wing Scorers",1.4,"BOS","bradlav01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bradlav01.jpg"
"36","Axel Toupane","SF","23","DEN","1.2","3.3","0.357","0.6","1.9","0.325","0.6","1.4","0.4","0.45","0.6","0.8","0.765","0.4","1.1","1.5","0.7","0.3","0.3","0.3","1.9","3.6","0.49","0.571","0.243","2.9","8.5","5.6","7","1.2","1.6","7.2","12","2016","Sharpshooters",-0.1,"DEN","toupaax01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/toupaax01.jpg"
"37","Ben McLemore","SG","22","SAC","2.9","6.7","0.429","1","2.7","0.362","1.9","4","0.474","0.502","1.1","1.5","0.718","0.5","1.7","2.2","1.2","0.8","0.1","1.5","2.1","7.8","0.531","0.407","0.226","2.6","8.5","5.6","7.9","1.7","0.6","16.5","17.6","2016","Sharpshooters",-0.4,"SAC","mclembe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/mclembe01.jpg"
"38","Beno Udrih","PG","33","TOT","2","4.5","0.434","0.3","1","0.341","1.6","3.5","0.461","0.472","0.4","0.5","0.9","0.2","1.5","1.6","2.6","0.3","0","1.2","1.2","4.7","0.496","0.222","0.101","1.3","10","5.8","24.9","1","0.1","20.4","16.7","2016","Sharpshooters",-0.5,"MEM","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"39","Beno Udrih","PG","33","TOT","2","4.5","0.434","0.3","1","0.341","1.6","3.5","0.461","0.472","0.4","0.5","0.9","0.2","1.5","1.6","2.6","0.3","0","1.2","1.2","4.7","0.496","0.222","0.101","1.3","10","5.8","24.9","1","0.1","20.4","16.7","2016","Sharpshooters",-0.5,"TOT","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"40","Beno Udrih","PG","33","TOT","2","4.5","0.434","0.3","1","0.341","1.6","3.5","0.461","0.472","0.4","0.5","0.9","0.2","1.5","1.6","2.6","0.3","0","1.2","1.2","4.7","0.496","0.222","0.101","1.3","10","5.8","24.9","1","0.1","20.4","16.7","2016","Sharpshooters",-0.5,"MIA","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"41","Beno Udrih","PG","33","MEM","2.5","5.8","0.435","0.5","1.4","0.364","2","4.4","0.457","0.478","0.4","0.4","1","0.3","0.9","1.1","3.3","0.4","0.1","1.4","1.4","5.9","0.497","0.239","0.065","1.8","7","4.3","36.4","1.3","0.8","18.9","21.8","2016","Sharpshooters",-0.1,"MEM","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"42","Beno Udrih","PG","33","MEM","2.5","5.8","0.435","0.5","1.4","0.364","2","4.4","0.457","0.478","0.4","0.4","1","0.3","0.9","1.1","3.3","0.4","0.1","1.4","1.4","5.9","0.497","0.239","0.065","1.8","7","4.3","36.4","1.3","0.8","18.9","21.8","2016","Sharpshooters",-0.1,"TOT","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"43","Beno Udrih","PG","33","MEM","2.5","5.8","0.435","0.5","1.4","0.364","2","4.4","0.457","0.478","0.4","0.4","1","0.3","0.9","1.1","3.3","0.4","0.1","1.4","1.4","5.9","0.497","0.239","0.065","1.8","7","4.3","36.4","1.3","0.8","18.9","21.8","2016","Sharpshooters",-0.1,"MIA","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"44","Beno Udrih","PG","33","MIA","1.8","4.2","0.434","0.3","0.9","0.333","1.5","3.3","0.462","0.47","0.4","0.5","0.882","0.2","1.6","1.8","2.5","0.3","0","1.2","1.1","4.4","0.495","0.217","0.112","1.2","10.7","6.1","22.5","1","0","20.8","15.7","2016","Sharpshooters",-0.4,"MEM","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"45","Beno Udrih","PG","33","MIA","1.8","4.2","0.434","0.3","0.9","0.333","1.5","3.3","0.462","0.47","0.4","0.5","0.882","0.2","1.6","1.8","2.5","0.3","0","1.2","1.1","4.4","0.495","0.217","0.112","1.2","10.7","6.1","22.5","1","0","20.8","15.7","2016","Sharpshooters",-0.4,"TOT","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"46","Beno Udrih","PG","33","MIA","1.8","4.2","0.434","0.3","0.9","0.333","1.5","3.3","0.462","0.47","0.4","0.5","0.882","0.2","1.6","1.8","2.5","0.3","0","1.2","1.1","4.4","0.495","0.217","0.112","1.2","10.7","6.1","22.5","1","0","20.8","15.7","2016","Sharpshooters",-0.4,"MIA","udrihbe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/udrihbe01.jpg"
"47","Bismack Biyombo","C","23","TOR","1.9","3.5","0.542","0","0","0","1.9","3.5","0.544","0.542","1.7","2.8","0.628","2.2","5.8","8","0.4","0.2","1.6","0.9","2.7","5.5","0.586","0.003","0.785","11.7","29.5","20.8","2.4","0.5","6.1","15.5","11.5","2016","Bruiser Big Men",0.9,"TOR","biyombi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/biyombi01.jpg"
"48","Blake Griffin","PF","26","LAC","8.6","17.2","0.499","0.2","0.5","0.333","8.4","16.7","0.504","0.504","4","5.5","0.727","1.5","6.9","8.4","4.9","0.8","0.5","2.4","2.7","21.4","0.544","0.03","0.322","4.8","22.3","13.7","27.2","1.2","1.1","10.8","29.8","2016","Big Men",1.6,"LAC","griffbl01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/griffbl01.jpg"
"49","Bobby Portis","PF","20","CHI","3","7","0.427","0.3","0.8","0.308","2.7","6.2","0.443","0.445","0.8","1.1","0.727","2","3.5","5.4","0.8","0.4","0.4","0.9","1.6","7","0.469","0.119","0.151","12","20","16.1","7.5","1.1","1.5","10.4","20.7","2016","Bruiser Big Men",-0.4,"CHI","portibo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/portibo01.jpg"
"50","Bojan Bogdanovic","SF","26","BRK","4.1","9.5","0.433","1.6","4.3","0.382","2.5","5.2","0.474","0.519","1.4","1.7","0.833","0.5","2.8","3.2","1.3","0.4","0.1","1.5","1.5","11.2","0.55","0.451","0.176","1.9","11.8","6.8","7.3","0.7","0.2","12.5","19.4","2016","Wing Scorers",-0.8,"BRK","bogdabo02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bogdabo02.jpg"
"51","Boris Diaw","PF","33","SAS","2.7","5","0.527","0.3","0.9","0.362","2.3","4.1","0.564","0.56","0.7","1","0.737","0.8","2.3","3.1","2.3","0.3","0.3","1.3","1.3","6.4","0.582","0.18","0.198","4.9","13.9","9.6","18.4","1","1.2","18.9","17","2016","Sharpshooters",1.1,"SAS","diawbo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/diawbo01.jpg"
"52","Bradley Beal","SG","22","WAS","6.5","14.5","0.449","1.9","4.9","0.387","4.6","9.6","0.481","0.515","2.5","3.2","0.767","0.7","2.7","3.4","2.9","1","0.2","2","2.1","17.4","0.547","0.339","0.22","2.6","9.8","6.2","15.6","1.5","0.5","11.3","25.3","2016","Wing Scorers",0.6,"WAS","bealbr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bealbr01.jpg"
"53","Brandan Wright","PF","28","MEM","2.9","4.3","0.673","0","0","0","2.9","4.3","0.673","0.673","1.1","2","0.542","1.2","2.4","3.6","0.5","0.4","1.3","0.8","1.8","6.9","0.663","0","0.462","7.2","16.3","11.6","4.7","1.2","6.6","13.8","15.4","2016","Bruiser Big Men",0.2,"MEM","wrighbr03","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/wrighbr03.jpg"
"54","Brandon Bass","PF","30","LAL","2.6","4.8","0.549","0","0","0","2.6","4.8","0.552","0.549","1.9","2.2","0.845","1.6","2.7","4.3","1.1","0.5","0.8","0.6","1.9","7.2","0.619","0.006","0.467","8.1","15","11.4","9.2","1.2","3.2","9.9","13.9","2016","Bruiser Big Men",1,"LAL","bassbr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bassbr01.jpg"
"55","Brandon Jennings","PG","26","TOT","2.3","6.3","0.368","1.1","3.2","0.329","1.3","3.1","0.409","0.452","1.2","1.6","0.731","0.3","1.7","2","3.5","0.6","0.1","1.2","1.2","6.9","0.491","0.51","0.257","2","10.4","6.1","29.2","1.7","0.7","14.4","20","2016","Sharpshooters",0.1,"ORL","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"56","Brandon Jennings","PG","26","TOT","2.3","6.3","0.368","1.1","3.2","0.329","1.3","3.1","0.409","0.452","1.2","1.6","0.731","0.3","1.7","2","3.5","0.6","0.1","1.2","1.2","6.9","0.491","0.51","0.257","2","10.4","6.1","29.2","1.7","0.7","14.4","20","2016","Sharpshooters",0.1,"DET","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"57","Brandon Jennings","PG","26","TOT","2.3","6.3","0.368","1.1","3.2","0.329","1.3","3.1","0.409","0.452","1.2","1.6","0.731","0.3","1.7","2","3.5","0.6","0.1","1.2","1.2","6.9","0.491","0.51","0.257","2","10.4","6.1","29.2","1.7","0.7","14.4","20","2016","Sharpshooters",0.1,"TOT","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"58","Brandon Jennings","PG","26","DET","2.3","6.2","0.371","1","3.3","0.312","1.3","2.9","0.439","0.455","1.2","1.7","0.711","0.2","1.8","2","3","0.5","0.1","1","1","6.8","0.491","0.538","0.266","1.3","11.2","6","25.7","1.3","0.4","12.1","19","2016","Sharpshooters",0.1,"ORL","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"59","Brandon Jennings","PG","26","DET","2.3","6.2","0.371","1","3.3","0.312","1.3","2.9","0.439","0.455","1.2","1.7","0.711","0.2","1.8","2","3","0.5","0.1","1","1","6.8","0.491","0.538","0.266","1.3","11.2","6","25.7","1.3","0.4","12.1","19","2016","Sharpshooters",0.1,"DET","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"60","Brandon Jennings","PG","26","DET","2.3","6.2","0.371","1","3.3","0.312","1.3","2.9","0.439","0.455","1.2","1.7","0.711","0.2","1.8","2","3","0.5","0.1","1","1","6.8","0.491","0.538","0.266","1.3","11.2","6","25.7","1.3","0.4","12.1","19","2016","Sharpshooters",0.1,"TOT","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"61","Brandon Jennings","PG","26","ORL","2.4","6.4","0.366","1.1","3.1","0.346","1.3","3.3","0.386","0.45","1.2","1.6","0.75","0.4","1.6","2","4","0.7","0.2","1.4","1.3","7","0.49","0.484","0.248","2.7","9.7","6.1","32.4","2","0.9","16.4","20.9","2016","Sharpshooters",0,"ORL","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"62","Brandon Jennings","PG","26","ORL","2.4","6.4","0.366","1.1","3.1","0.346","1.3","3.3","0.386","0.45","1.2","1.6","0.75","0.4","1.6","2","4","0.7","0.2","1.4","1.3","7","0.49","0.484","0.248","2.7","9.7","6.1","32.4","2","0.9","16.4","20.9","2016","Sharpshooters",0,"DET","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"63","Brandon Jennings","PG","26","ORL","2.4","6.4","0.366","1.1","3.1","0.346","1.3","3.3","0.386","0.45","1.2","1.6","0.75","0.4","1.6","2","4","0.7","0.2","1.4","1.3","7","0.49","0.484","0.248","2.7","9.7","6.1","32.4","2","0.9","16.4","20.9","2016","Sharpshooters",0,"TOT","jennibr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jennibr01.jpg"
"64","Brandon Knight","SG","24","PHO","7.1","17.2","0.415","2.3","6.8","0.342","4.8","10.5","0.461","0.482","3","3.5","0.852","0.7","3.2","3.9","5.1","1.2","0.4","3.4","2.4","19.6","0.522","0.392","0.204","2","9.9","5.9","24.4","1.6","0.9","15.4","26.2","2016","Ball Handlers",0.8,"PHO","knighbr03","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/knighbr03.jpg"
