"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","second2$VORP","Tm.y","Index","Image"
"535","Tim Hardaway","PG","29","TOT","5.2","12.4","0.422","1.7","4.7","0.364","3.5","7.7","0.458","0.492","3","3.8","0.79","0.4","2.4","2.9","8","1.7","0.2","2.9","2.5","15.2","0.54","0.382","0.307","1.6","8.8","5.2","42.8","2.7","0.5","17.3","23.8","1996","Ball Handlers",2.7,"TOT","hardati01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardati01.jpg"
"536","Tim Hardaway","PG","29","TOT","5.2","12.4","0.422","1.7","4.7","0.364","3.5","7.7","0.458","0.492","3","3.8","0.79","0.4","2.4","2.9","8","1.7","0.2","2.9","2.5","15.2","0.54","0.382","0.307","1.6","8.8","5.2","42.8","2.7","0.5","17.3","23.8","1996","Ball Handlers",2.7,"GSW","hardati01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardati01.jpg"
"537","Tim Hardaway","PG","29","MIA","5.9","13.8","0.425","1.9","5.3","0.361","4","8.5","0.464","0.494","3.6","4.4","0.821","0.5","3","3.5","10","2.1","0.2","3.9","2.5","17.2","0.548","0.381","0.319","1.5","9.2","5.5","46.4","2.9","0.4","20","23.9","1996","Ball Handlers",1.3,"MIA","hardati01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardati01.jpg"
"538","Tim Hardaway","PG","29","MIA","5.9","13.8","0.425","1.9","5.3","0.361","4","8.5","0.464","0.494","3.6","4.4","0.821","0.5","3","3.5","10","2.1","0.2","3.9","2.5","17.2","0.548","0.381","0.319","1.5","9.2","5.5","46.4","2.9","0.4","20","23.9","1996","Ball Handlers",1.3,"TOT","hardati01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardati01.jpg"
"539","Tim Hardaway","PG","29","MIA","5.9","13.8","0.425","1.9","5.3","0.361","4","8.5","0.464","0.494","3.6","4.4","0.821","0.5","3","3.5","10","2.1","0.2","3.9","2.5","17.2","0.548","0.381","0.319","1.5","9.2","5.5","46.4","2.9","0.4","20","23.9","1996","Ball Handlers",1.3,"GSW","hardati01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardati01.jpg"
"540","Tim Hardaway","PG","29","GSW","4.9","11.7","0.421","1.6","4.5","0.366","3.3","7.2","0.455","0.491","2.7","3.5","0.769","0.4","2.1","2.5","6.9","1.4","0.2","2.4","2.5","14.1","0.536","0.383","0.3","1.7","8.5","5.1","40.2","2.6","0.5","15.4","23.8","1996","Ball Handlers",1.3,"MIA","hardati01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardati01.jpg"
"541","Tim Hardaway","PG","29","GSW","4.9","11.7","0.421","1.6","4.5","0.366","3.3","7.2","0.455","0.491","2.7","3.5","0.769","0.4","2.1","2.5","6.9","1.4","0.2","2.4","2.5","14.1","0.536","0.383","0.3","1.7","8.5","5.1","40.2","2.6","0.5","15.4","23.8","1996","Ball Handlers",1.3,"TOT","hardati01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardati01.jpg"
"542","Tim Hardaway","PG","29","GSW","4.9","11.7","0.421","1.6","4.5","0.366","3.3","7.2","0.455","0.491","2.7","3.5","0.769","0.4","2.1","2.5","6.9","1.4","0.2","2.4","2.5","14.1","0.536","0.383","0.3","1.7","8.5","5.1","40.2","2.6","0.5","15.4","23.8","1996","Ball Handlers",1.3,"GSW","hardati01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardati01.jpg"
"543","Tim Legler","SG","29","WSB","3","6","0.507","1.7","3.2","0.522","1.4","2.8","0.488","0.646","1.7","2","0.863","0.4","1.4","1.8","1.8","0.6","0.2","0.6","1.8","9.4","0.688","0.533","0.333","2","7.2","4.6","11.3","1.3","0.5","7.9","14.4","1996","Swingmen",2,"WSB","legleti01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/legleti01.jpg"
"544","Todd Day","SG","26","MIL","2.8","8.9","0.31","0.6","3.1","0.2","2.1","5.8","0.37","0.345","3","3.3","0.923","1","1.8","2.8","0.6","0.5","0.4","1.4","3.4","9.1","0.443","0.352","0.366","5.6","10.2","7.9","4.6","1.2","1.4","11.8","25","1996","Wing Scorers",-0.2,"TOT","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
