"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","second2$VORP","Tm.y","Index","Image"
"1","A.C. Green","SF","32","PHO","2.6","5.4","0.484","0.2","0.6","0.269","2.5","4.8","0.513","0.5","2","2.9","0.709","2","4.7","6.8","0.9","0.5","0.3","1","1.7","7.5","0.558","0.117","0.534","9.2","20.9","15.2","4.9","1.1","0.8","12.6","13.2","1996","Bruiser Big Men",0.3,"PHO","greenac01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/greenac01.jpg"
"2","Aaron McKie","SG","23","POR","4.2","8.9","0.467","0.5","1.4","0.325","3.7","7.5","0.494","0.493","1.9","2.5","0.764","1.1","2.7","3.8","2.5","1.1","0.3","1.7","2.5","10.7","0.534","0.162","0.276","4.4","10.9","7.7","14.6","2.1","0.7","14.3","18.3","1996","Swingmen",1.7,"POR","mckieaa01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/mckieaa01.jpg"
"3","Acie Earl","C","25","TOR","2.8","6.6","0.424","0","0.1","0","2.8","6.5","0.429","0.424","2","2.7","0.719","1.2","1.9","3.1","0.6","0.4","0.9","1.2","1.7","7.5","0.484","0.011","0.413","9.2","14.3","11.7","6.9","1.4","4.3","13.1","25.2","1996","Bruiser Big Men",-0.7,"TOR","earlac01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/earlac01.jpg"
"4","Adam Keefe","PF","25","UTA","2.2","4.2","0.52","0","0","0","2.2","4.2","0.526","0.52","1.7","2.5","0.692","2.1","3.4","5.5","0.8","0.6","0.5","1.1","2.1","6.1","0.574","0.012","0.581","13","19.5","16.3","5.5","1.6","2","16.8","14","1996","Bruiser Big Men",1.5,"UTA","keefead01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/keefead01.jpg"
"5","Alan Henderson","PF","23","ATL","2.4","5.5","0.442","0","0","0","2.4","5.5","0.445","0.442","1.5","2.5","0.595","2.1","2.4","4.5","0.6","0.6","0.5","1.1","2.7","6.4","0.482","0.007","0.461","13.2","16.7","14.9","5.8","1.7","2.4","14.3","19.3","1996","Bruiser Big Men",-0.4,"ATL","hendeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hendeal01.jpg"
"6","Allan Houston","SG","24","DET","6.9","15.2","0.453","2.3","5.5","0.427","4.5","9.7","0.468","0.53","3.6","4.4","0.823","0.7","3","3.7","3","0.7","0.2","2.8","2.8","19.7","0.576","0.359","0.291","2.2","9.3","5.9","15.5","1.1","0.4","14.2","25.4","1996","Ball Handlers",2.1,"DET","houstal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/houstal01.jpg"
"7","Alton Lister","C","37","MIL","0.6","1.3","0.444","0","0","0","0.6","1.3","0.444","0.444","0.3","0.3","1","1","3.1","4.1","0.6","0","0.4","0.6","2.1","1.4","0.506","0","0.222","9.6","31.2","20.2","6.3","0","2.6","28.8","7.2","1996","Bruiser Big Men",-0.1,"MIL","listeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/listeal01.jpg"
"8","Alton Lister","C","37","MIL","0.6","1.3","0.444","0","0","0","0.6","1.3","0.444","0.444","0.3","0.3","1","1","3.1","4.1","0.6","0","0.4","0.6","2.1","1.4","0.506","0","0.222","9.6","31.2","20.2","6.3","0","2.6","28.8","7.2","1996","Bruiser Big Men",-0.1,"TOT","listeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/listeal01.jpg"
"9","Alton Lister","C","37","MIL","0.6","1.3","0.444","0","0","0","0.6","1.3","0.444","0.444","0.3","0.3","1","1","3.1","4.1","0.6","0","0.4","0.6","2.1","1.4","0.506","0","0.222","9.6","31.2","20.2","6.3","0","2.6","28.8","7.2","1996","Bruiser Big Men",-0.1,"BOS","listeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/listeal01.jpg"
"10","Alvin Robertson","SG","33","TOR","3.7","7.9","0.47","0.5","2","0.272","3.2","5.9","0.535","0.503","1.4","2.1","0.677","1.4","3","4.4","4.2","2.2","0.5","2.4","3.5","9.3","0.531","0.249","0.26","5.3","11.2","8.2","19.7","3.5","1.1","21.3","15.3","1996","Swingmen",1.7,"TOR","roberal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/roberal01.jpg"
"11","Andrew Lang","C","29","MIN","3.6","8.6","0.421","0.1","0.1","0.5","3.6","8.5","0.42","0.424","1.5","1.9","0.789","2.1","4","6.1","0.2","0.4","2.1","1.5","3.2","8.8","0.466","0.012","0.222","9.1","17.2","13.2","0.9","0.7","5.7","13.8","17.5","1996","Bruiser Big Men",-0.6,"ATL","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"12","Andrew Lang","C","29","MIN","3.6","8.6","0.421","0.1","0.1","0.5","3.6","8.5","0.42","0.424","1.5","1.9","0.789","2.1","4","6.1","0.2","0.4","2.1","1.5","3.2","8.8","0.466","0.012","0.222","9.1","17.2","13.2","0.9","0.7","5.7","13.8","17.5","1996","Bruiser Big Men",-0.6,"TOT","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"13","Andrew Lang","C","29","MIN","3.6","8.6","0.421","0.1","0.1","0.5","3.6","8.5","0.42","0.424","1.5","1.9","0.789","2.1","4","6.1","0.2","0.4","2.1","1.5","3.2","8.8","0.466","0.012","0.222","9.1","17.2","13.2","0.9","0.7","5.7","13.8","17.5","1996","Bruiser Big Men",-0.6,"MIN","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"14","Andrew Lang","C","29","ATL","5.5","12.1","0.454","0","0.1","0","5.5","12.1","0.456","0.454","1.9","2.3","0.805","2.2","4.4","6.5","1.2","0.7","1.7","1.8","3.5","12.9","0.49","0.005","0.191","6.9","15.1","10.9","5.7","1","3.6","12.3","18.9","1996","Bruiser Scorers",-0.1,"ATL","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"15","Andrew Lang","C","29","ATL","5.5","12.1","0.454","0","0.1","0","5.5","12.1","0.456","0.454","1.9","2.3","0.805","2.2","4.4","6.5","1.2","0.7","1.7","1.8","3.5","12.9","0.49","0.005","0.191","6.9","15.1","10.9","5.7","1","3.6","12.3","18.9","1996","Bruiser Scorers",-0.1,"TOT","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"16","Andrew Lang","C","29","ATL","5.5","12.1","0.454","0","0.1","0","5.5","12.1","0.456","0.454","1.9","2.3","0.805","2.2","4.4","6.5","1.2","0.7","1.7","1.8","3.5","12.9","0.49","0.005","0.191","6.9","15.1","10.9","5.7","1","3.6","12.3","18.9","1996","Bruiser Scorers",-0.1,"MIN","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"17","Andrew Lang","C","29","TOT","5","11.1","0.447","0","0.1","0.2","5","11.1","0.448","0.447","1.8","2.2","0.801","2.2","4.3","6.4","0.9","0.6","1.8","1.7","3.4","11.7","0.484","0.006","0.197","7.5","15.6","11.4","4.6","0.9","4.1","12.6","18.6","1996","Bruiser Scorers",-0.7,"ATL","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"18","Andrew Lang","C","29","TOT","5","11.1","0.447","0","0.1","0.2","5","11.1","0.448","0.447","1.8","2.2","0.801","2.2","4.3","6.4","0.9","0.6","1.8","1.7","3.4","11.7","0.484","0.006","0.197","7.5","15.6","11.4","4.6","0.9","4.1","12.6","18.6","1996","Bruiser Scorers",-0.7,"TOT","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"19","Andrew Lang","C","29","TOT","5","11.1","0.447","0","0.1","0.2","5","11.1","0.448","0.447","1.8","2.2","0.801","2.2","4.3","6.4","0.9","0.6","1.8","1.7","3.4","11.7","0.484","0.006","0.197","7.5","15.6","11.4","4.6","0.9","4.1","12.6","18.6","1996","Bruiser Scorers",-0.7,"MIN","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"20","Anfernee Hardaway","PG","24","ORL","7.6","14.8","0.513","1.1","3.5","0.314","6.5","11.4","0.573","0.549","5.4","7.1","0.767","1.6","2.7","4.3","7.1","2","0.5","2.8","2","21.7","0.605","0.233","0.477","5.1","8.5","6.8","32.2","2.9","1","13.5","25.5","1996","Ball Handlers",6.4,"ORL","hardaan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardaan01.jpg"
"21","Anthony Avent","PF","26","VAN","2.5","6.6","0.384","0","0","0","2.5","6.6","0.384","0.384","0.8","1.1","0.74","1.5","3.5","5","1","0.4","0.6","1.5","2.8","5.8","0.415","0","0.165","7.7","18.9","13.1","7.4","1","2","17.6","17.5","1996","Bruiser Big Men",-1.7,"VAN","aventan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/aventan01.jpg"
"22","Anthony Bowie","SG","32","ORL","1.7","3.7","0.471","0.2","0.4","0.387","1.6","3.3","0.481","0.493","0.5","0.6","0.87","0.5","1.1","1.7","1.4","0.5","0.1","0.7","1.5","4.2","0.527","0.114","0.169","4.4","8.8","6.6","14.2","1.6","0.7","15.8","14.6","1996","Wing Scorers",-0.3,"ORL","bowiean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bowiean01.jpg"
"23","Anthony Goldwire","PG","24","CHH","1.8","4.5","0.402","0.8","2","0.398","1","2.5","0.406","0.489","1.1","1.4","0.767","0.2","0.8","1","2.7","0.4","0","1.5","1.9","5.5","0.536","0.439","0.317","1.5","7","4.2","27.4","1.4","0","22.6","20.3","1996","Wing Scorers",-0.5,"CHH","goldwan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/goldwan01.jpg"
"24","Anthony Mason","SF","29","NYK","5.5","9.7","0.563","0","0","0","5.5","9.7","0.563","0.563","3.6","5","0.72","2.7","6.6","9.3","4.4","0.8","0.4","2.6","3","14.6","0.61","0","0.519","7.8","18.1","13.1","16.7","1.1","0.8","17.7","16.1","1996","Bruiser Scorers",4.9,"NYK","masonan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masonan01.jpg"
"25","Anthony Peeler","SG","26","LAL","3.7","8.2","0.452","1.4","3.5","0.413","2.3","4.8","0.48","0.539","0.8","1.2","0.709","0.6","1.3","1.9","1.6","0.8","0.1","0.8","1.9","9.7","0.555","0.422","0.143","3.3","6.5","5","11.3","1.9","0.4","8","19.4","1996","Swingmen",0.8,"LAL","peelean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/peelean01.jpg"
"26","Antoine Carr","SF","34","UTA","2.9","6.4","0.457","0","0","0","2.9","6.3","0.46","0.457","1.4","1.8","0.792","0.9","1.6","2.5","0.9","0.4","0.8","1","3.2","7.3","0.506","0.006","0.282","5.8","10.1","8","7.6","1","3.5","12","19.5","1996","Bruiser Big Men",0,"UTA","carran01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carran01.jpg"
"27","Antonio Davis","PF","27","IND","2.9","5.9","0.49","0","0","0.5","2.9","5.9","0.49","0.491","3","4.2","0.713","2.3","3.8","6.1","0.5","0.4","0.8","1.1","3","8.8","0.567","0.004","0.716","11.6","18.1","15","3.2","0.8","2.5","12.1","15.8","1996","Bruiser Big Men",0.9,"IND","davisan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/davisan01.jpg"
"28","Antonio Harvey","PF","25","TOT","1.5","4.1","0.371","0","0","0","1.5","4","0.374","0.371","0.7","1.5","0.458","1.3","2.4","3.6","0.3","0.5","0.9","0.8","1.4","3.7","0.392","0.009","0.371","9.8","19.5","14.5","2.9","1.7","4.3","14.4","16.7","1996","Bruiser Big Men",-0.9,"TOT","harvean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harvean01.jpg"
"29","Antonio Harvey","PF","25","TOT","1.5","4.1","0.371","0","0","0","1.5","4","0.374","0.371","0.7","1.5","0.458","1.3","2.4","3.6","0.3","0.5","0.9","0.8","1.4","3.7","0.392","0.009","0.371","9.8","19.5","14.5","2.9","1.7","4.3","14.4","16.7","1996","Bruiser Big Men",-0.9,"VAN","harvean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harvean01.jpg"
"30","Antonio Harvey","PF","25","TOT","1.5","4.1","0.371","0","0","0","1.5","4","0.374","0.371","0.7","1.5","0.458","1.3","2.4","3.6","0.3","0.5","0.9","0.8","1.4","3.7","0.392","0.009","0.371","9.8","19.5","14.5","2.9","1.7","4.3","14.4","16.7","1996","Bruiser Big Men",-0.9,"LAC","harvean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harvean01.jpg"
"31","Antonio Harvey","PF","25","VAN","2.2","5.3","0.411","0","0.1","0","2.2","5.2","0.419","0.411","1.1","2.4","0.465","1.5","3.7","5.2","0.5","0.8","1.2","1","2.1","5.4","0.43","0.021","0.453","7.5","19.9","13.4","3.6","1.8","3.9","13.6","14.7","1996","Bruiser Big Men",-0.3,"TOT","harvean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harvean01.jpg"
"32","Antonio Harvey","PF","25","VAN","2.2","5.3","0.411","0","0.1","0","2.2","5.2","0.419","0.411","1.1","2.4","0.465","1.5","3.7","5.2","0.5","0.8","1.2","1","2.1","5.4","0.43","0.021","0.453","7.5","19.9","13.4","3.6","1.8","3.9","13.6","14.7","1996","Bruiser Big Men",-0.3,"VAN","harvean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harvean01.jpg"
"33","Antonio Harvey","PF","25","VAN","2.2","5.3","0.411","0","0.1","0","2.2","5.2","0.419","0.411","1.1","2.4","0.465","1.5","3.7","5.2","0.5","0.8","1.2","1","2.1","5.4","0.43","0.021","0.453","7.5","19.9","13.4","3.6","1.8","3.9","13.6","14.7","1996","Bruiser Big Men",-0.3,"LAC","harvean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harvean01.jpg"
"34","Antonio McDyess","PF","21","DEN","5.6","11.6","0.485","0","0.1","0","5.6","11.5","0.487","0.485","2.2","3.2","0.683","3","4.5","7.5","1","0.7","1.5","2","3.3","13.4","0.516","0.005","0.276","11.6","17.4","14.5","5.8","1.2","3.6","13.5","22.4","1996","Bruiser Scorers",0.2,"DEN","mcdyean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/mcdyean01.jpg"
"35","Armen Gilliam","SF","31","NJN","7.4","15.6","0.474","0","0","0","7.4","15.6","0.474","0.474","3.6","4.5","0.791","3.1","6.1","9.1","1.8","0.9","0.7","2.3","2.3","18.3","0.522","0.001","0.288","9.1","18.6","13.7","9.4","1.3","1.4","11.4","23.7","1996","Bruiser Scorers",1.7,"NJN","gilliar01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/gilliar01.jpg"
"36","Ashraf Amaya","PF","24","VAN","2.2","4.7","0.48","0","0","0","2.2","4.6","0.482","0.48","1.8","2.8","0.651","2.1","3.5","5.6","0.6","0.4","0.2","1.1","2.8","6.3","0.534","0.004","0.591","11.7","20.8","16.1","5.1","1.1","0.7","15.2","15.5","1996","Bruiser Big Men",-0.5,"VAN","amayaas01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/amayaas01.jpg"
"37","Avery Johnson","PG","30","SAS","5.3","10.8","0.494","0.1","0.4","0.194","5.3","10.4","0.505","0.497","2.3","3.2","0.721","0.5","2.1","2.5","9.6","1.5","0.3","2.4","2.2","13.1","0.534","0.035","0.295","1.4","5.9","3.7","39.1","2","0.5","16.3","17.5","1996","Ball Handlers",1.2,"SAS","johnsav01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/johnsav01.jpg"
"38","B.J. Armstrong","PG","28","GSW","4.1","8.9","0.468","1.2","2.5","0.473","3","6.3","0.465","0.535","2.9","3.4","0.839","0.3","2","2.2","4.9","0.8","0.1","1.6","1.8","12.3","0.595","0.285","0.384","1.1","8.3","4.7","28.4","1.5","0.2","13.1","18.8","1996","Swingmen",1.2,"GSW","armstbj01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/armstbj01.jpg"
"39","Benoit Benjamin","C","31","MIL","3.2","6.1","0.52","0","0","0","3.2","6.1","0.523","0.52","1.4","2","0.732","1.6","4.7","6.2","0.7","0.5","1","1.6","2.6","7.8","0.558","0.007","0.322","8.9","27.3","17.9","5.2","1.2","3.6","18.3","18.4","1996","Bruiser Big Men",-0.3,"MIL","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"40","Benoit Benjamin","C","31","MIL","3.2","6.1","0.52","0","0","0","3.2","6.1","0.523","0.52","1.4","2","0.732","1.6","4.7","6.2","0.7","0.5","1","1.6","2.6","7.8","0.558","0.007","0.322","8.9","27.3","17.9","5.2","1.2","3.6","18.3","18.4","1996","Bruiser Big Men",-0.3,"VAN","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"41","Benoit Benjamin","C","31","MIL","3.2","6.1","0.52","0","0","0","3.2","6.1","0.523","0.52","1.4","2","0.732","1.6","4.7","6.2","0.7","0.5","1","1.6","2.6","7.8","0.558","0.007","0.322","8.9","27.3","17.9","5.2","1.2","3.6","18.3","18.4","1996","Bruiser Big Men",-0.3,"TOT","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"42","Benoit Benjamin","C","31","TOT","3.5","7.1","0.498","0","0","0","3.5","7.1","0.501","0.498","1.7","2.3","0.722","1.7","4.8","6.5","0.8","0.5","1","1.7","2.7","8.8","0.539","0.005","0.329","8.8","26.1","17.3","5.7","1.3","3.4","17.6","19.8","1996","Bruiser Big Men",-0.6,"MIL","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"43","Benoit Benjamin","C","31","TOT","3.5","7.1","0.498","0","0","0","3.5","7.1","0.501","0.498","1.7","2.3","0.722","1.7","4.8","6.5","0.8","0.5","1","1.7","2.7","8.8","0.539","0.005","0.329","8.8","26.1","17.3","5.7","1.3","3.4","17.6","19.8","1996","Bruiser Big Men",-0.6,"VAN","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"44","Benoit Benjamin","C","31","TOT","3.5","7.1","0.498","0","0","0","3.5","7.1","0.501","0.498","1.7","2.3","0.722","1.7","4.8","6.5","0.8","0.5","1","1.7","2.7","8.8","0.539","0.005","0.329","8.8","26.1","17.3","5.7","1.3","3.4","17.6","19.8","1996","Bruiser Big Men",-0.6,"TOT","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"45","Benoit Benjamin","C","31","VAN","5.5","12.4","0.441","0","0","0","5.5","12.4","0.441","0.441","3","4.3","0.696","2.4","5.5","7.9","1.2","0.8","1.2","2.6","3.1","13.9","0.488","0","0.348","8.7","21.7","15","7.6","1.3","2.8","15.5","24.8","1996","Bruiser Scorers",-0.3,"MIL","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"46","Benoit Benjamin","C","31","VAN","5.5","12.4","0.441","0","0","0","5.5","12.4","0.441","0.441","3","4.3","0.696","2.4","5.5","7.9","1.2","0.8","1.2","2.6","3.1","13.9","0.488","0","0.348","8.7","21.7","15","7.6","1.3","2.8","15.5","24.8","1996","Bruiser Scorers",-0.3,"VAN","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"47","Benoit Benjamin","C","31","VAN","5.5","12.4","0.441","0","0","0","5.5","12.4","0.441","0.441","3","4.3","0.696","2.4","5.5","7.9","1.2","0.8","1.2","2.6","3.1","13.9","0.488","0","0.348","8.7","21.7","15","7.6","1.3","2.8","15.5","24.8","1996","Bruiser Scorers",-0.3,"TOT","benjabe01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/benjabe01.jpg"
"48","Bill Wennington","C","32","CHI","2.4","4.8","0.493","0","0","1","2.4","4.8","0.491","0.494","0.5","0.6","0.86","0.8","1.6","2.5","0.6","0.3","0.2","0.5","2.4","5.3","0.519","0.003","0.125","6.4","12.7","9.5","6.4","1","1.1","9.3","16.5","1996","Wing Scorers",-0.1,"CHI","wennibi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/wennibi01.jpg"
"49","Billy Owens","SF","26","SAC","3.8","9.1","0.42","0.2","0.5","0.417","3.6","8.5","0.42","0.433","2","3.2","0.643","2.2","3.5","5.7","3.2","0.9","0.7","2.3","2.7","9.9","0.472","0.06","0.35","9.5","14.9","12.2","19.3","1.6","2","18.1","20.8","1996","Bruiser Big Men",0.2,"SAC","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"50","Billy Owens","SF","26","SAC","3.8","9.1","0.42","0.2","0.5","0.417","3.6","8.5","0.42","0.433","2","3.2","0.643","2.2","3.5","5.7","3.2","0.9","0.7","2.3","2.7","9.9","0.472","0.06","0.35","9.5","14.9","12.2","19.3","1.6","2","18.1","20.8","1996","Bruiser Big Men",0.2,"TOT","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"51","Billy Owens","SF","26","SAC","3.8","9.1","0.42","0.2","0.5","0.417","3.6","8.5","0.42","0.433","2","3.2","0.643","2.2","3.5","5.7","3.2","0.9","0.7","2.3","2.7","9.9","0.472","0.06","0.35","9.5","14.9","12.2","19.3","1.6","2","18.1","20.8","1996","Bruiser Big Men",0.2,"MIA","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"52","Billy Owens","SF","26","MIA","6","11.8","0.505","0","0.2","0","6","11.7","0.512","0.505","2.8","4.4","0.633","2.4","4.8","7.2","3.4","0.8","0.6","2.8","3.3","14.8","0.536","0.013","0.374","8.1","15.7","12","17.2","1.1","1.2","17","21.7","1996","Bruiser Scorers",1.1,"SAC","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"53","Billy Owens","SF","26","MIA","6","11.8","0.505","0","0.2","0","6","11.7","0.512","0.505","2.8","4.4","0.633","2.4","4.8","7.2","3.4","0.8","0.6","2.8","3.3","14.8","0.536","0.013","0.374","8.1","15.7","12","17.2","1.1","1.2","17","21.7","1996","Bruiser Scorers",1.1,"TOT","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"54","Billy Owens","SF","26","MIA","6","11.8","0.505","0","0.2","0","6","11.7","0.512","0.505","2.8","4.4","0.633","2.4","4.8","7.2","3.4","0.8","0.6","2.8","3.3","14.8","0.536","0.013","0.374","8.1","15.7","12","17.2","1.1","1.2","17","21.7","1996","Bruiser Scorers",1.1,"MIA","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"55","Billy Owens","SF","26","TOT","5.2","10.9","0.48","0.1","0.3","0.278","5.1","10.6","0.485","0.484","2.5","4","0.636","2.3","4.3","6.6","3.3","0.8","0.6","2.6","3.1","13","0.517","0.027","0.367","8.5","15.5","12.1","17.8","1.3","1.5","17.3","21.5","1996","Bruiser Scorers",1.3,"SAC","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"56","Billy Owens","SF","26","TOT","5.2","10.9","0.48","0.1","0.3","0.278","5.1","10.6","0.485","0.484","2.5","4","0.636","2.3","4.3","6.6","3.3","0.8","0.6","2.6","3.1","13","0.517","0.027","0.367","8.5","15.5","12.1","17.8","1.3","1.5","17.3","21.5","1996","Bruiser Scorers",1.3,"TOT","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"57","Billy Owens","SF","26","TOT","5.2","10.9","0.48","0.1","0.3","0.278","5.1","10.6","0.485","0.484","2.5","4","0.636","2.3","4.3","6.6","3.3","0.8","0.6","2.6","3.1","13","0.517","0.027","0.367","8.5","15.5","12.1","17.8","1.3","1.5","17.3","21.5","1996","Bruiser Scorers",1.3,"MIA","owensbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/owensbi01.jpg"
"58","Bimbo Coles","PG","27","TOT","3.9","9.6","0.409","1.1","3.1","0.346","2.8","6.5","0.44","0.466","2.1","2.6","0.796","0.6","2.6","3.2","5.2","1.2","0.2","2.1","3.1","11","0.513","0.327","0.272","2.2","9.2","5.8","25.9","1.9","0.5","16.4","17.9","1996","Swingmen",1.3,"MIA","colesbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/colesbi01.jpg"
"59","Bimbo Coles","PG","27","TOT","3.9","9.6","0.409","1.1","3.1","0.346","2.8","6.5","0.44","0.466","2.1","2.6","0.796","0.6","2.6","3.2","5.2","1.2","0.2","2.1","3.1","11","0.513","0.327","0.272","2.2","9.2","5.8","25.9","1.9","0.5","16.4","17.9","1996","Swingmen",1.3,"TOT","colesbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/colesbi01.jpg"
"60","Bimbo Coles","PG","27","TOT","3.9","9.6","0.409","1.1","3.1","0.346","2.8","6.5","0.44","0.466","2.1","2.6","0.796","0.6","2.6","3.2","5.2","1.2","0.2","2.1","3.1","11","0.513","0.327","0.272","2.2","9.2","5.8","25.9","1.9","0.5","16.4","17.9","1996","Swingmen",1.3,"GSW","colesbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/colesbi01.jpg"
"61","Bimbo Coles","PG","27","GSW","3","7.5","0.399","0.9","2.8","0.305","2.1","4.7","0.456","0.456","1","1.3","0.763","0.4","1.7","2","4.3","1.1","0.2","1.7","2.7","7.9","0.486","0.376","0.174","1.7","7.6","4.6","26.3","2.2","0.5","17","16.8","1996","Swingmen",-0.1,"MIA","colesbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/colesbi01.jpg"
"62","Bimbo Coles","PG","27","GSW","3","7.5","0.399","0.9","2.8","0.305","2.1","4.7","0.456","0.456","1","1.3","0.763","0.4","1.7","2","4.3","1.1","0.2","1.7","2.7","7.9","0.486","0.376","0.174","1.7","7.6","4.6","26.3","2.2","0.5","17","16.8","1996","Swingmen",-0.1,"TOT","colesbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/colesbi01.jpg"
"63","Bimbo Coles","PG","27","GSW","3","7.5","0.399","0.9","2.8","0.305","2.1","4.7","0.456","0.456","1","1.3","0.763","0.4","1.7","2","4.3","1.1","0.2","1.7","2.7","7.9","0.486","0.376","0.174","1.7","7.6","4.6","26.3","2.2","0.5","17","16.8","1996","Swingmen",-0.1,"GSW","colesbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/colesbi01.jpg"
"64","Bimbo Coles","PG","27","MIA","4.4","10.8","0.413","1.2","3.3","0.366","3.2","7.4","0.434","0.47","2.7","3.3","0.803","0.7","3.1","3.9","5.7","1.2","0.2","2.4","3.4","12.8","0.523","0.308","0.309","2.4","9.9","6.2","25.7","1.8","0.5","16.2","18.3","1996","Swingmen",1.4,"MIA","colesbi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/colesbi01.jpg"
