"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","first2$VORP","Tm.y","Index","Image"
"166","John Duren","PG","23","UTA","1.5","3.4","0.451","0","0.1","0.273","1.5","3.3","0.459","0.457","0.3","0.5","0.73","0.2","0.9","1.1","2","0.3","0.1","0.9","1.8","3.4","0.478","0.041","0.138","1.4","7.3","4.3","18.2","0.9","0.2","20.2","13.5","1982","Wing Scorers",-1.2,"UTA","durenjo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/durenjo01.jpg"
"167","John Johnson","SF","34","SEA","1.6","3.2","0.489","0","0","0","1.6","3.2","0.489","0.489","1.1","1.4","0.75","0.2","1.1","1.3","2.1","0.3","0.2","1.2","1.4","4.2","0.548","0","0.444","1.8","8.4","5.2","20.2","1","0.9","24","15.7","1982","Wing Scorers",-0.1,"SEA","johnsjo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/johnsjo01.jpg"
"168","John Lambert","PF","29","SAS","1.2","2.8","0.448","0","0","0","1.2","2.7","0.456","0.448","0.6","0.7","0.929","0.9","1.5","2.4","0.6","0.3","0.3","0.5","2","3.1","0.507","0.017","0.241","7.5","12.7","10.1","5.7","1","1.2","13.5","10.9","1982","Wing Scorers",0,"SAS","lambejo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lambejo01.jpg"
"169","John Lambert","PF","29","SAS","1.2","2.8","0.448","0","0","0","1.2","2.7","0.456","0.448","0.6","0.7","0.929","0.9","1.5","2.4","0.6","0.3","0.3","0.5","2","3.1","0.507","0.017","0.241","7.5","12.7","10.1","5.7","1","1.2","13.5","10.9","1982","Wing Scorers",0,"KCK","lambejo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lambejo01.jpg"
"170","John Lambert","PF","29","SAS","1.2","2.8","0.448","0","0","0","1.2","2.7","0.456","0.448","0.6","0.7","0.929","0.9","1.5","2.4","0.6","0.3","0.3","0.5","2","3.1","0.507","0.017","0.241","7.5","12.7","10.1","5.7","1","1.2","13.5","10.9","1982","Wing Scorers",0,"TOT","lambejo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lambejo01.jpg"
"171","John Lambert","PF","29","TOT","1.4","3.1","0.437","0","0.1","0.143","1.3","3","0.447","0.439","0.5","0.7","0.81","0.9","2","2.8","0.6","0.3","0.3","0.8","2","3.3","0.48","0.036","0.213","7.8","18.2","12.9","6","1.1","1.2","18.2","14","1982","Wing Scorers",-0.3,"SAS","lambejo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lambejo01.jpg"
"172","John Lambert","PF","29","TOT","1.4","3.1","0.437","0","0.1","0.143","1.3","3","0.447","0.439","0.5","0.7","0.81","0.9","2","2.8","0.6","0.3","0.3","0.8","2","3.3","0.48","0.036","0.213","7.8","18.2","12.9","6","1.1","1.2","18.2","14","1982","Wing Scorers",-0.3,"KCK","lambejo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lambejo01.jpg"
"173","John Lambert","PF","29","TOT","1.4","3.1","0.437","0","0.1","0.143","1.3","3","0.447","0.439","0.5","0.7","0.81","0.9","2","2.8","0.6","0.3","0.3","0.8","2","3.3","0.48","0.036","0.213","7.8","18.2","12.9","6","1.1","1.2","18.2","14","1982","Wing Scorers",-0.3,"TOT","lambejo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lambejo01.jpg"
"174","John Long","SG","25","DET","9.2","18.8","0.492","0","0.2","0.133","9.2","18.5","0.496","0.493","3.4","4","0.865","1.4","2.3","3.7","2.1","0.9","0.4","2.4","2.5","21.9","0.535","0.012","0.213","4.6","8.3","6.4","11","1.4","0.6","10.6","27.9","1982","Ball Handlers",0.4,"DET","longjo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/longjo01.jpg"
"175","John Lucas","PG","28","WSB","3.3","7.8","0.426","0","0.3","0.091","3.3","7.5","0.438","0.427","1.7","2.2","0.784","0.5","1.6","2.1","7","1.2","0.1","2","1.3","8.4","0.479","0.036","0.285","2.3","7","4.7","39.4","2.4","0.2","18.3","18.4","1982","Ball Handlers",0.4,"WSB","lucasjo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lucasjo01.jpg"
"176","John Roche","SG","32","DEN","1.7","3.8","0.453","0.6","1.3","0.442","1.2","2.5","0.459","0.53","0.7","1","0.737","0.1","0.5","0.6","2.3","0.4","0.1","0.7","1","4.8","0.561","0.347","0.253","0.9","4","2.5","20.5","1.3","0.2","14.8","14.8","1982","Other",-0.3,"DEN","rochejo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/rochejo01.jpg"
"177","Johnny Davis","SG","26","IND","6.6","14.1","0.467","0.1","0.3","0.185","6.5","13.7","0.473","0.469","3.8","4.8","0.799","0.9","1.3","2.2","4.2","0.9","0.1","2.3","2.1","17","0.526","0.023","0.342","2.9","4.4","3.6","20.4","1.4","0.2","12.3","23.7","1982","Ball Handlers",0.5,"IND","davisjo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/davisjo01.jpg"
"178","Johnny Moore","PG","23","SAS","3.9","8.4","0.463","0","0.3","0.048","3.9","8.2","0.477","0.464","1.5","2.3","0.67","0.8","2.7","3.5","9.6","2.1","0.2","2.2","3.2","9.4","0.496","0.031","0.273","2.9","9.9","6.4","41.5","3.3","0.3","19","16","1982","Ball Handlers",1.9,"SAS","moorejo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/moorejo01.jpg"
"179","Junior Bridgeman","SF","28","MIL","5.1","10.6","0.483","0.1","0.2","0.444","5","10.3","0.483","0.487","2.2","2.5","0.864","0.9","2.1","3","2.7","0.7","0.1","1.6","2.2","12.5","0.534","0.021","0.238","4.8","10.5","7.8","17.6","1.5","0.2","11.8","24.1","1982","Ball Handlers",0.3,"MIL","bridgju01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bridgju01.jpg"
"180","Kelly Tripucka","SF","22","DET","7.8","15.6","0.496","0.1","0.3","0.227","7.7","15.4","0.501","0.498","6","7.6","0.797","2.7","2.7","5.4","3.3","1.1","0.2","3.4","2.9","21.6","0.57","0.017","0.485","7.6","8.2","7.9","12.7","1.3","0.3","15.3","23.3","1982","Swingmen",2.5,"DET","tripuke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/tripuke01.jpg"
"181","Kelvin Ransey","PG","23","POR","6.5","14","0.46","0","0.5","0.079","6.4","13.6","0.474","0.462","3.1","4.1","0.761","0.5","1.9","2.4","7.1","1.2","0.1","2.9","2.2","16.1","0.507","0.035","0.29","1.8","6.7","4.3","32.4","1.9","0.1","15.6","24.9","1982","Ball Handlers",0.1,"POR","ranseke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ranseke01.jpg"
"182","Kenny Carr","PF","26","DET","2.8","6","0.458","0","0","0","2.8","6","0.461","0.458","1.9","2.9","0.646","1.9","3","4.9","0.8","0.2","0.2","1.4","2.5","7.4","0.507","0.006","0.488","12.7","21.4","16.9","7.2","0.6","0.7","16.4","21.5","1982","Bruiser Big Men",-0.3,"TOT","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"183","Kenny Carr","PF","26","DET","2.8","6","0.458","0","0","0","2.8","6","0.461","0.458","1.9","2.9","0.646","1.9","3","4.9","0.8","0.2","0.2","1.4","2.5","7.4","0.507","0.006","0.488","12.7","21.4","16.9","7.2","0.6","0.7","16.4","21.5","1982","Bruiser Big Men",-0.3,"DET","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"184","Kenny Carr","PF","26","DET","2.8","6","0.458","0","0","0","2.8","6","0.461","0.458","1.9","2.9","0.646","1.9","3","4.9","0.8","0.2","0.2","1.4","2.5","7.4","0.507","0.006","0.488","12.7","21.4","16.9","7.2","0.6","0.7","16.4","21.5","1982","Bruiser Big Men",-0.3,"CLE","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"185","Kenny Carr","PF","26","TOT","4.7","9.4","0.503","0","0.1","0.1","4.7","9.2","0.509","0.504","2.7","4.1","0.656","2.3","4.9","7.2","1.2","0.9","0.3","2.1","3.4","12.1","0.543","0.014","0.436","9.2","22.4","15.5","6.5","1.6","0.6","15.6","20.6","1982","Bruiser Big Men",0.2,"TOT","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"186","Kenny Carr","PF","26","TOT","4.7","9.4","0.503","0","0.1","0.1","4.7","9.2","0.509","0.504","2.7","4.1","0.656","2.3","4.9","7.2","1.2","0.9","0.3","2.1","3.4","12.1","0.543","0.014","0.436","9.2","22.4","15.5","6.5","1.6","0.6","15.6","20.6","1982","Bruiser Big Men",0.2,"DET","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"187","Kenny Carr","PF","26","TOT","4.7","9.4","0.503","0","0.1","0.1","4.7","9.2","0.509","0.504","2.7","4.1","0.656","2.3","4.9","7.2","1.2","0.9","0.3","2.1","3.4","12.1","0.543","0.014","0.436","9.2","22.4","15.5","6.5","1.6","0.6","15.6","20.6","1982","Bruiser Big Men",0.2,"CLE","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"188","Kenny Carr","PF","26","CLE","5.9","11.4","0.517","0","0.2","0.111","5.9","11.2","0.524","0.518","3.2","4.8","0.659","2.5","6.1","8.6","1.4","1.3","0.3","2.4","3.9","15","0.554","0.017","0.42","8.2","22.7","15","6.3","1.9","0.6","15.3","20.4","1982","Swingmen",0.4,"TOT","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"189","Kenny Carr","PF","26","CLE","5.9","11.4","0.517","0","0.2","0.111","5.9","11.2","0.524","0.518","3.2","4.8","0.659","2.5","6.1","8.6","1.4","1.3","0.3","2.4","3.9","15","0.554","0.017","0.42","8.2","22.7","15","6.3","1.9","0.6","15.3","20.4","1982","Swingmen",0.4,"DET","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"190","Kenny Carr","PF","26","CLE","5.9","11.4","0.517","0","0.2","0.111","5.9","11.2","0.524","0.518","3.2","4.8","0.659","2.5","6.1","8.6","1.4","1.3","0.3","2.4","3.9","15","0.554","0.017","0.42","8.2","22.7","15","6.3","1.9","0.6","15.3","20.4","1982","Swingmen",0.4,"CLE","carrke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrke01.jpg"
"191","Kenny Dennard","PF","23","KCK","2.1","4","0.512","0","0","0","2.1","4","0.512","0.512","0.9","1.3","0.65","1.6","2.9","4.4","1.4","1.2","0.3","1.2","2.7","5","0.541","0","0.331","8.5","16.3","12.3","8.6","2.7","0.8","20.2","11.7","1982","Bruiser Big Men",0.5,"KCK","dennake01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dennake01.jpg"
"192","Kenny Higgs","PG","27","DEN","2.7","6.2","0.432","0.1","0.3","0.19","2.6","5.9","0.443","0.436","2.1","2.6","0.817","0.3","1.6","1.9","5.2","0.9","0.1","2.1","3.5","7.5","0.513","0.045","0.421","1.5","7.4","4.5","26.3","1.9","0.2","22","15.9","1982","Ball Handlers",-0.8,"DEN","higgske01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/higgske01.jpg"
"193","Kent Benson","C","27","DET","5.4","10.7","0.505","0","0.1","0.273","5.4","10.5","0.508","0.507","1.7","2.1","0.804","2.9","5.8","8.7","2.1","0.9","1.3","2.1","2.9","12.5","0.539","0.014","0.197","9.4","19.9","14.5","8.8","1.2","2.2","15.5","16.3","1982","Bruiser Big Men",2.1,"DET","bensoke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bensoke01.jpg"
"194","Kermit Washington","PF","30","POR","1.9","3.9","0.487","0","0","0","1.9","3.9","0.487","0.487","1.2","2.1","0.585","2","3.9","5.9","1.5","0.5","0.8","1","2.8","5","0.521","0","0.526","10.8","20.4","15.6","8.4","1","2.1","16.5","11.3","1982","Bruiser Big Men",0.2,"POR","washike01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/washike01.jpg"
"195","Kevin Grevey","SG","28","WSB","5.3","12.1","0.439","0.4","1.2","0.341","4.9","10.9","0.449","0.455","2.3","2.7","0.855","0.8","1.9","2.7","2.1","0.6","0.3","1.4","2.1","13.3","0.502","0.096","0.225","2.9","6.8","4.9","10.1","1","0.6","9.2","20.1","1982","Other",0.4,"WSB","greveke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/greveke01.jpg"
"196","Kevin Loder","SF","22","KCK","2.9","6.3","0.464","0","0.2","0","2.9","6.2","0.476","0.464","1.1","1.5","0.72","1","1.8","2.7","1.2","0.5","0.4","1","2.1","6.9","0.498","0.025","0.239","6.6","12.8","9.6","10.7","1.4","1.5","12.1","20.2","1982","Wing Scorers",0,"KCK","loderke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/loderke01.jpg"
"197","Kevin Stacom","SG","30","MIL","2","4.9","0.412","0.1","0.3","0.5","1.9","4.6","0.406","0.426","0.1","0.3","0.5","0.3","0.7","1","1","0.1","0","1.3","0.9","4.3","0.43","0.059","0.059","2.6","6.1","4.5","10.5","0.5","0","20.5","20.1","1982","Wing Scorers",-0.2,"MIL","stacoke01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/stacoke01.jpg"
